sector,INST_NAME,n_total,oa_share,n_total_sec
Fraunhofer Society,Fraunhofer-Zentrum für Mittel- und Osteuropa,9,0.2222222222222222,14444
"Government Research
 Agencies",Bayerische Landesanstalt für Landwirtschaft,333,0.2672672672672673,25092
"Government Research
 Agencies",Bayerische Landesanstalt für Wald und Forstwirtschaft,77,0.33766233766233766,25092
"Government Research
 Agencies",Bayerisches Landesamt für Denkmalpflege,20,0.05,25092
"Government Research
 Agencies",Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit,621,0.2834138486312399,25092
"Government Research
 Agencies",Bundesagentur für Arbeit,12,0.3333333333333333,25092
"Government Research
 Agencies",Bundesamt für Kartographie und Geodäsie (BKG),14,0.21428571428571427,25092
"Government Research
 Agencies",Bundesamt für Migration und Flüchtlinge,2,0,25092
"Government Research
 Agencies",Bundesamt für Seeschifffahrt und Hydrographie,29,0.5862068965517241,25092
"Government Research
 Agencies",Bundesamt für Strahlenschutz,360,0.3472222222222222,25092
"Government Research
 Agencies",Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),168,0.23809523809523808,25092
"Government Research
 Agencies",Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,262,0.4580152671755725,25092
"Government Research
 Agencies",Bundesanstalt für Geowissenschaften und Rohstoffe (BGR),1040,0.2778846153846154,25092
"Government Research
 Agencies",Bundesanstalt für Gewässerkunde,400,0.2675,25092
"Government Research
 Agencies",Bundesanstalt für Materialforschung und -prüfung,3218,0.18272218769422002,25092
"Government Research
 Agencies",Bundesanstalt für Straßenwesen,36,0.16666666666666666,25092
"Government Research
 Agencies",Bundesanstalt für Wasserbau,48,0.041666666666666664,25092
"Government Research
 Agencies",Bundesforschungsanstalt für Landwirtschaft,12,0.08333333333333333,25092
"Government Research
 Agencies",Bundesgesundheitsamt,1,1,25092
"Government Research
 Agencies",Bundesinstitut für Arzneimittel und Medizinprodukte,328,0.4695121951219512,25092
"Government Research
 Agencies",Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,2,0,25092
"Government Research
 Agencies",Bundesinstitut für ostwissenschaftliche und internationale Studien (BIOst),1,0,25092
